_id,codice_cis,denominazione,ragione_sociale,comparto,tipologia,sottotipologia,classicazione,cod_istat_provincia_sede_operativa,sigla_provincia_sede_operativa,provincia_sede_operativa,codice_nuts_1_sede_operativa,codice_nuts_2_sede_operativa,codice_nuts_3_sede_operativa,codice_istat_comune_sede_operativa,comune_sede_operativa,via_sede_operativa,civico_sede_operativa,mail_sede_operativa,telefono_sede_operativa,localita_sede_operativa,pec_sede_operativa,sito_web,lingue_parlate,brand_comunicazione,breve_descrizione,foto,foto1,foto2,foto3,foto4,foto5,latitudine,longitudine,data_ultima_modifica,tel_fisso,logo,codice_ateco,modalita_prenotazione,cancellazione_pagamento,carte_credito_accreditate,accessibilita_spazi_interni,accessibilita_spazi_esterni,servizi_animali,servizi_generali,tipo_cucina,fascia_prezzo_pasto_medio,riconoscimenti,ricetta_tipica,descrizione_servizi,territorio,prodotto_specializzazione,tema_specializzazione,tipo_rappresentazione,produzione_tipica_zona,prodotti_tipici,tipo_attrezzatura_ricreativa,periodi,id_sede,provincia,comune,localita,servizi_camera,parcheggio,internet,check_in,check_out,prima_colazione,tipo_colazione,resort,centro_congressi,numero_sale,accessibilita_sale_disabili,capienza_sala_principale,lunghezza_sala_principale,superficie_sala_principale,potenza_elettrica_max_sala_principale,caratteristiche_sala_principale,capienza_sala_piccola,superficie_totale_sale,area_foyer,numero_zone_foyer,zone_banchetti,totale_superificie_area_congressi,area_espositiva_interna,area_espositiva_esterna,superficie_area_esposativa_interna,superficie_area_espositiva_esterna,servizi_per_eventi,country_house,masseria_didattica,certificazione_qualita_ambientale,scelta_parcotema_percorso_cammino,scelta_cantina_frantoio_forno_pastificio_caseificio,scelta_maneggio_campogolf_stadio_diving,servizio_biglietteria,scelta_teatri_saleconcerto,scelta_infopoint_proloco,scelta_cinema_studicinema_mediatiche,scelta_biblio_archivi_musei_galleriearte,scelta_parcodivertimento_parcotematico,numero_zone_banchetti,servizi_specifici_persone_disabili,scelta_porto_approdo_puntoormeggio
1,,,SABINO GIOVANNI PAOLO,"Arte, cultura e creatività | Sport, natura e benessere",Gestione e servizi di valorizzazione culturale e creativa | Natura,"Attività ricreative, di intrattenimento e di divertimento | Servizi a fini ricreativi legati ad avventura e natura",n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075031,Gallipoli,VIA FEDERICO FELLINI,6,ragfas@libero.it,3388977880,,sabinogiovannipaolo@pec.it,,,,,,,,,,,,,2023-05-10 16:44:02+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0831 Space,0831 srl,"Arte, cultura e creatività | Mice e Wedding","Attività creative, artistiche e di intrattenimento | Cinema e musica | Gestione e servizi di valorizzazione culturale e creativa | Mice","Attività di produzione, post-produzione e distribuzione cinematografica, di video e di programmi televisivi, registrazioni musicali e sonore | Attività di supporto alle rappresentazioni artistiche | Attività ricreative, di intrattenimento e di divertimento | Creazioni artistiche e letterarie | Gestione di strutture artistiche | Organizzatori professionali di congressi, eventi e fiere | Rappresentazioni artistiche | Servizi di gestione, valorizzazione e innovazione dei beni culturali materiali e immateriali",n.d.,074,BR,Brindisi,ITF,ITF4,ITF44,074001,Brindisi,Via Appia,98/A,info@0831space.com,0831562565,,0831srl@arubapec.it,,,,,,,,,,,,,2023-05-10 16:44:05+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,167revolution,167revolution,"Arte, cultura e creatività","Attività creative, artistiche e di intrattenimento | Gestione e servizi di valorizzazione culturale e creativa","Attività ricreative, di intrattenimento e di divertimento | Rappresentazioni artistiche",n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075035,Lecce,Via Novara presso complesso S. Giovanni B.,2,antoniadf@167revolution.it,3929698016,,antoniadf@pec.it,,,,,,,,,,,,,2023-05-10 16:44:02+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,18°Meridiano Escursioni,Francesco De Salve,"Sport, natura e benessere",Natura,Servizi a fini ricreativi legati ad avventura e natura,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075035,Lecce,via vanini,,info-prenotazioni@18meridianoescursioni.it,3519970029,,,,,18°Meridiano Escursioni,,,,,,,,,,2019-07-01 11:46:47+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,1978,1978,"Servizi utili di fruizione | Sport, natura e benessere",Guide e accompagnatori turistici | Natura,Accompagnatori turistici | Guide turistiche | Servizi a fini ricreativi legati ad avventura e natura,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072006,Bari,VIA OTTAVIO SERENA,,rossellagendarmi@gmail.com,3204573111,,,,,,,,,,,,,,,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,19 Summer Club,Torre del Mito s.r.l.,Enogastronomia | Mare | Mice e Wedding,Ristorazione | Wedding,"Servizi di ristorazione (ristoranti, catering, ...) | Wedding e event planner",n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075072,Santa Cesarea Terme,Via Umberto I,,info@19summerclub.it,0836949764,,,www.19summerclub.it,,19 summer club,"Il 19 SUMMER  CLUB, è costituito da tre grandi bio piscine d'acqua salata a picco sul mare (3.000 metri di specchi d'acqua, con gazebo, ombrelloni e lettini!), una delle quali dedicata ai bambini con servizio mini club (4 - 12 anni). Su richiesta, inoltre, servizio baby sitter.
Le nostre piscine  si differenziano dalle tradizionali per il bassissimo impatto ambientale.
L'elemento che le caratterizza maggiormente e che le rende assolutamente uniche ed esclusive, è il rivestimento strutturale in sabbia e ciottoli di marmo, che riproducono l'aspetto di una spiaggia naturale.
L'accesso graduale in acqua e l'inserimento di rocce ed altri elementi naturali rendono il 19 unico nel suo genere.
Accanto allo stabilimento, è possibile accedere direttamente al mare (scogliera) con due accessi pubblici.
All'interno dello stabilimento, infine, troverete negozi, bar, ristorante- pizzeria, centro estetico e massaggi, parrucchiere.",,,,,,,40.0318,18.446812,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,28 MM Studio di Pasquale D'Apolito,28 MM Studio di Pasquale D'Apolito,"Arte, cultura e creatività","Attività creative, artistiche e di intrattenimento | Cinema e musica | Gestione e servizi di valorizzazione culturale e creativa","Attività di produzione, post-produzione e distribuzione cinematografica, di video e di programmi televisivi, registrazioni musicali e sonore | Attività di supporto alle rappresentazioni artistiche | Attività ricreative, di intrattenimento e di divertimento | Creazioni artistiche e letterarie | Rappresentazioni artistiche",n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071059,Vico del Gargano,Corso UmbertoI,151,dapolitopasquale@gmail.com,3711460517,,mm28@pec.it,,,,,,,,,,,,,2023-05-10 16:44:01+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,34°Fuso,34° Fuso APS,"Arte, cultura e creatività | Servizi utili di fruizione","Attività creative, artistiche e di intrattenimento | Gestione e servizi di valorizzazione culturale e creativa | Servizi di prenotazione e altre attività di assistenza turistica","Attività di supporto alle rappresentazioni artistiche | Attività ricreative, di intrattenimento e di divertimento | Biglietteria eventi culturali, sportivi e ricreativi | Prenotazione e altre attività di assistenza turistica | Rappresentazioni artistiche | Servizi di gestione, valorizzazione e innovazione dei beni culturali materiali e immateriali",n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075023,Corigliano d'Otranto,Via Ferrovia,90,34fuso@gmail.com,3206188686,,34fuso@pec.it,,inglese|italiano,34°Fuso APS,"L¿Aps 34° Fuso è un¿associazione di promozione sociale che riunisce giovani professioniste della  cultura, dell¿economia e della comunicazione. Questo mix di competenze trasversali ha permesso dal  2013 ad oggi di progettare e sperimentare innovative forme di valorizzazione e promozione del  patrimonio culturale. In particolare il gruppo di lavoro ha operato a livello regionale nei seguenti campi: RICERCA con indagini conoscitive, mappature, analisi di contesto, monitoraggi sui pubblici e valutazioni d¿impatto; PROGETTAZIONE, ORGANIZZAZIONE e GESTIONE di attività formative, servizi museali e servizi educativi, percorsi e iniziative turistico-culturali ed eventi culturali;  COMUNICAZIONE attraverso la definizione di piani di comunicazione, strategie di digital  engagement e gestione social media, progettazione e sviluppo siti web, progetti editoriali e multimediali.",,,,,,,,,2023-05-10 16:43:59+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,40° Parallelo,a.s.d.,"Sport, natura e benessere",Natura,Servizi a fini ricreativi legati ad avventura e natura,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075019,Castrignano del Capo,lungomare critoforo colombo,26,info@quarantesimoparallelo.it,3408599838,,,,,40°Parallelo,,,,,,,,39.796635,18.359882,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,4cycling 'n trek,4cycling 'n trek di Filippo Tito,"Sport, natura e benessere",Natura,Servizi a fini ricreativi legati ad avventura e natura,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110009,Trani,Via Gramsci,135,info@ciclomurgia.com,3389881731,,,www.4cyclingandtrek.com,italiano|inglese,4cycling 'n trek,"4cycling 'n trek gestisce attività escursionistiche a piedi e in bicicletta nel Parco Nazionale dell'Alta Murgia da Aprile fino ad Ottobre.
Il nostro Staff è composto da Guide Ambientali Escursionistiche Professionali (certificare A.I.G.A.E.), Guide Turistiche e Accompagnatori Turistici abilitati e forniamo anche supporto per viaggi in bicicletta di più giorni, guidati e autoguidati (noleggio attrezzature, transfert dei bagagli, prenotazioni delle strutture, elaborazione itinerari personalizzati) anche in altre zone della Puglia.",,https://dms.ect.regione.puglia.it/image/19762/foto1-19762.jpg,https://dms.ect.regione.puglia.it/image/19762/foto2-19762.jpg,https://dms.ect.regione.puglia.it/image/19762/foto3-19762.jpg,https://dms.ect.regione.puglia.it/image/19762/foto4-19762.jpg,https://dms.ect.regione.puglia.it/image/19762/foto5-19762.jpg,41.26298,16.438965,2023-02-14 18:12:09+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
