_id,codice_cis,denominazione,ragione_sociale,comparto,tipologia,sottotipologia,classicazione,cod_istat_provincia_sede_operativa,sigla_provincia_sede_operativa,provincia_sede_operativa,codice_nuts_1_sede_operativa,codice_nuts_2_sede_operativa,codice_nuts_3_sede_operativa,codice_istat_comune_sede_operativa,comune_sede_operativa,via_sede_operativa,civico_sede_operativa,mail_sede_operativa,telefono_sede_operativa,localita_sede_operativa,pec_sede_operativa,sito_web,lingue_parlate,brand_comunicazione,breve_descrizione,foto,foto1,foto2,foto3,foto4,foto5,latitudine,longitudine,data_ultima_modifica,tel_fisso,logo,codice_ateco,modalita_prenotazione,cancellazione_pagamento,carte_credito_accreditate,accessibilita_spazi_interni,accessibilita_spazi_esterni,servizi_animali,servizi_generali,tipo_cucina,fascia_prezzo_pasto_medio,riconoscimenti,ricetta_tipica,descrizione_servizi,territorio,prodotto_specializzazione,tema_specializzazione,tipo_rappresentazione,produzione_tipica_zona,prodotti_tipici,tipo_attrezzatura_ricreativa,periodi,id_sede,provincia,comune,localita,servizi_camera,parcheggio,internet,check_in,check_out,prima_colazione,tipo_colazione,resort,centro_congressi,numero_sale,accessibilita_sale_disabili,capienza_sala_principale,lunghezza_sala_principale,superficie_sala_principale,potenza_elettrica_max_sala_principale,caratteristiche_sala_principale,capienza_sala_piccola,superficie_totale_sale,area_foyer,numero_zone_foyer,zone_banchetti,totale_superificie_area_congressi,area_espositiva_interna,area_espositiva_esterna,superficie_area_esposativa_interna,superficie_area_espositiva_esterna,servizi_per_eventi,country_house,masseria_didattica,certificazione_qualita_ambientale,scelta_parcotema_percorso_cammino,scelta_cantina_frantoio_forno_pastificio_caseificio,scelta_maneggio_campogolf_stadio_diving,servizio_biglietteria,scelta_teatri_saleconcerto,scelta_infopoint_proloco,scelta_cinema_studicinema_mediatiche,scelta_biblio_archivi_musei_galleriearte,scelta_parcodivertimento_parcotematico,numero_zone_banchetti,servizi_specifici_persone_disabili,scelta_porto_approdo_puntoormeggio
1,,2 Laghi,,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075057,Otranto,Alimini Litoranea Otranto San Cataldo,s.n.,info@2laghi.it,0836805227,,CASTELLANO57ANTONIO@pec.it,www.2laghi.it,Francese | Inglese | Italiano | Tedesco,2 Laghi,Familiare,https://www.dms.puglia.it/digitalmanagementsystem/image/19889/foto1-19889.png,https://www.dms.puglia.it/digitalmanagementsystem/image/19889/foto2-19889.jpg,https://www.dms.puglia.it/digitalmanagementsystem/image/19889/foto3-19889.png,https://www.dms.puglia.it/digitalmanagementsystem/image/19889/foto4-19889.png,https://www.dms.puglia.it/digitalmanagementsystem/image/19889/foto5-19889.png,,40.204823,18.457607,2023-01-30 00:00:00+01,0836805227,,,e-mail,,"visa,mastercard",Pavimenti non sdrucciolevoli | Servizi igienici | Percorsi orizzontali con andamento quanto piu' possibile continuo,Segnaletica | Parcheggi,,Ristorante | Bar,Tipica | Italiana,,,,,Salento,,,,,,,,16,,,Laghi Alimini,,Privato scoperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
2,,2 Star Luxury Beach,Fucci Impresa Edile s.r.l.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110002,Barletta,Litoranea di Ponente,,studiofucci@virgilio.it,3289003400,,,FACEBOOK,,2STAR LUXURY BEACH,STABILIMENTO BALNEARE CON OMBRELLONE SDRAIO E LETTINI,,,,,,,41.323856,16.273977,2022-10-17 00:00:00+02,3289003400,,,,,,,,,,,,,,,Puglia Imperiale,,,,,,,,16,Bat,BARLETTA,BARLETTA,,Privato scoperto a pagamento,Connessione WiFi gratuita,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,passerelle,
3,,Acquaspeed s.r.l.,Acquaspeed s.r.l.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075057,Otranto,Laghi Alimini,,acquaspeed@email.it,3683847285,,,www.acquaspeed.com,,ACQUASPEED,"Aqua Speed è uno stabilimento balneare, dotato di bar e rosticceria, l'unico di tutta la costa adriatica che può offrire un divertimento a pelo d'acqua! Venite a provare l'ebbrezza della velocità sulle nostre moto d'acqua, a cavalcare le onde sul divertentissimo bananone, andare direttamente sul classico con lo sci nautico, oppure provare dei brividi sul fantastico paracadute ascensionale  Un esperienza che vi resterà per sempre. Se preferite rimanere con i piedi per terra, il nostro stabilimento provvederà al vostro rilassamento più totale, con ombrelloni, sedie e sdraio per poter godere del caldo sole del Salento.",,,,,,,40.19977,18.446142,2022-09-30 00:00:00+02,3683847285,,,,,,,Percorsi | Pavimentazione | Parcheggi | Segnaletica,,,,,,,,Salento,,,,,,,,16,,,LAGHI ALIMINI,,Privato scoperto gratuito | Privato scoperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,carrozzine,
4,,AESTAS SRL,AESTAS SRL,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,074,BR,Brindisi,ITF,ITF4,ITF44,074007,Fasano,BARI EVOLI,4,STUDIOCIACCIA@GMAIL.COM,0804422654,,AESTAS@PEC.IT,,Francese | Inglese | Italiano,LIDO SOTTOVENTO,STABILIMENTO BALNEARE,,,,,,,,,2022-11-03 00:00:00+01,0804422654,,93.29.20,,,,,,,Bar | Punto ristoro,Altro | Tipica | Per altre esigenze specifiche | Vegetariana | Per celiaci | Internazionale,,,,,Valle d'Itria e Murgia dei Trulli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Agua de Coco beach club,agua srls ,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110009,Trani,Lungomare Cristoforo Colombo ,,info@fabrispalace.it,3755130036,,,,,,Agua de Coco beach club,,,,,,,41.276146,16.425888,2022-12-20 00:00:00+01,3755130036,,,,,,Arredi fissi | Servizi igienici | Cucine | Percorsi orizzontali con andamento quanto piu' possibile continuo,Pavimentazione,,,,,,,,Puglia Imperiale,,,,,,,,16,,,,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
6,,AI CONFINI DI RAMSAR,DITTA INDIVIDUALE PASQUINO MARCO ,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075093,Vernole,S.P.366 SAN C ATALDO OTRANTO,SNC,marcopasquino@icloud.com,3204860251,STRADA BIANCA TORRE SPECCHIA,lidocesine@pec.buffetti.it,,,,,,,,,,,,,2022-10-06 00:00:00+02,3204860251,,93.29.20,,,,Servizi igienici | Pendenza rampa | Pavimenti non sdrucciolevoli,Parcheggi | Percorsi | Pavimentazione | Segnaletica,,Bar | Punto ristoro,Per celiaci | Mediterranea | Biologica | Tradizionale,,,,,Salento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Alba Marina,Alba Marina s.r.l.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071027,Lesina,Marina di Lesina,,acquafantasy@libero.it,,,,www.acquafantasy.it,,LIDO ALBATROS,STABILIMENTO BALNEARE - BAR - SELF SERVICE - PARCHEGGIO,,,,,,,41.912983,15.334155,2022-10-19 00:00:00+02,,,,,,,,,,,,,,,,Gargano e Daunia,,,,,,,,16,,,marina di lesina,,Privato scoperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
8,,Albano Ferdinando,Albano Ferdinando,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071043,Rodi Garganico,Via Trieste,16,nando.albano@virgilio.it,,,,,Italiano | Inglese | Francese,Stabilimento ristorante balneare IL Gabbiano,Il Lido ristorante il Gabbiano nato negli anni 60 e gestito direttamente dai proprietari offrendo ai propri clienti svariati servizi relativi alla balneazione ed alla ristorazione.,,,,,,,41.92941,15.891107,2023-09-28 00:00:00+02,,,,nessuna,,tutte,,,Ciotola acqua,Bar | Ristorante,Tipica,,,,,Gargano e Daunia,,,,,,,,16,,,Rodi Garganico,,Privato scoperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
9,,Albatros Club,Serra Vera,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,073,TA,Taranto,ITF,ITF4,ITF43,073003,Castellaneta,Lungomare Eroi del Mare,1,tecnostudio2012@gmail.com,,,,WWW.ALBATROSCLUB,,ALBATROS CLUB,STABILIMENTO BALNEARE,,,,,,,,,2019-07-01 00:00:00+02,,,,,,,Porte e finestre facilmente utilizzabili | Arredi fissi | Servizi igienici | Balconi e terrazze | Pendenza rampa,,,,,,,,,"Magna Grecia, Murgia e Gravine",,,,,,,,16,,,Taranto,,Custodito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
10,,ALDEBARAN AI CENTO SCALINI SAS,ALDEBARAN AI CENTO SCALINI DI GIGLIO A. & C. SAS,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071059,Vico del Gargano,LOCALITA' VALAZZO,SC,lella.emmi@libero.it,3714192622,SAN MENAIO,socaldebaransas@pec.it,,Italiano | Inglese,ALDEBARAN AI CENTO SCALINI DI GIGLIO ANTONELLA & C. SAS,Gestione di stabilimento balneare con annesso bar,,,,,,,,,2023-10-12 00:00:00+02,3714192622,,93.29.20,,,,Pavimenti non sdrucciolevoli | Servizi igienici,,,Bar | Camere / struttura per ospiti disabili | Punto ristoro,Altro,,,,,Gargano e Daunia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
